,Policy,PolicyType,UsesProtectedFeatures,IsInterpretable,AverageSuccess,AverageSuccessWhiteOther,AverageSuccessBlackHispanic,AverageSuccessHi,AverageSuccessLow,AverageSuccessMid,AverageSuccessHiBlackHispanic,AverageSuccessHiWhiteOther,AverageSuccessLowBlackHispanic,AverageSuccessLowWhiteOther,AverageSuccessMidBlackHispanic,AverageSuccessMidWhiteOther,AverageTreatmentEffectWhiteOther,AverageTreatmentEffectBlackHispanic,AverageTreatmentEffectHi,AverageTreatmentEffectMid,AverageTreatmentEffectHiBlackHispanic,AverageTreatmentEffectHiWhiteOther,AverageTreatmentEffectMidBlackHispanic,AverageTreatmentEffectMidWhiteOther
31,31,RANDOM_MATCH_FCFS,0,FALSE,0.601553598,0.646198286,0.549412004,0.376586652,0.878831338,0.663248995,0.335464415,0.415140439,0.8726519,0.883167554,0.610109057,0.70804363,0.057936782,0.071617101,0.212215086,0.016086517,0.211761667,0.212640185,0.022706494,0.010506166
32,32,RANDOM_MATCH_FCFS,0,TRUE,0.603586518,0.651706342,0.547386231,0.428484073,0.85965759,0.647162478,0.385808119,0.468494533,0.850006229,0.866430112,0.587402563,0.697537464,0.063444837,0.069591328,0.264112507,0,0.262105371,0.265994279,0,0
33,33,RANDOM_MATCH_FCFS,1,FALSE,0.606902342,0.685446494,0.515168759,0.269821412,0.937489532,0.708715466,0.139256645,0.392231246,0.924117518,0.946872899,0.637641949,0.768627322,0.09718499,0.037373855,0.105449846,0.061552988,0.015553897,0.189730992,0.050239386,0.071089858
34,34,RANDOM_MATCH_FCFS,0,TRUE,0.619995086,0.658730339,0.574755264,0.275837802,0.898261669,0.730488837,0.241496538,0.308034149,0.892309364,0.902438501,0.687810592,0.766464724,0.070468834,0.096960361,0.111466236,0.083326359,0.11779379,0.105533895,0.10040803,0.06892726
35,35,RANDOM_MATCH_FCFS,0,FALSE,0.625915339,0.668997186,0.575599025,0.369378027,0.927039707,0.697932024,0.324985788,0.410997575,0.919422997,0.93238448,0.65016342,0.738198861,0.080735681,0.097804122,0.205006461,0.050769546,0.20128304,0.208497321,0.062760857,0.040661397
36,36,RANDOM_MATCH_FCFS,0,TRUE,0.576758387,0.625257201,0.520115469,0.283182106,0.91594764,0.659770392,0.233979394,0.329311671,0.906184527,0.92279858,0.605894909,0.705185061,0.036995697,0.042320565,0.11881054,0.012607914,0.110276646,0.126811417,0.018492346,0.007647597
37,37,RANDOM_MATCH_FCFS,0,FALSE,0.61226493,0.658884056,0.557817344,0.398536999,0.876846633,0.670750438,0.347310806,0.446563659,0.867216524,0.883604243,0.618398407,0.714880904,0.070622552,0.080022441,0.234165433,0.023587961,0.223608059,0.244063405,0.030995844,0.01734344
38,38,RANDOM_MATCH_FCFS,1,TRUE,0.615981792,0.654722036,0.570736141,0.288983148,0.935223955,0.714910499,0.273470679,0.303526726,0.935856075,0.934780386,0.663432132,0.758304503,0.066460531,0.092941238,0.124611582,0.067748021,0.149767931,0.101026472,0.07602957,0.060767039
39,39,RANDOM_MATCH_FCFS,1,FALSE,0.601159068,0.631329632,0.565922148,0.261035488,0.904119813,0.707271058,0.232919116,0.287395741,0.896680661,0.909339991,0.677552069,0.732322862,0.043068127,0.088127245,0.096663922,0.060108581,0.109216368,0.084895487,0.090149506,0.034785398
40,40,RANDOM_MATCH_FCFS,1,TRUE,0.595062965,0.655212621,0.524812751,0.288486965,0.923617421,0.684583403,0.261373375,0.31390707,0.916361204,0.92870923,0.600194244,0.75571976,0.066951116,0.047017848,0.124115399,0.037420925,0.137670627,0.111406816,0.012791682,0.058182296
41,41,RANDOM_MATCH_FCFS,0,FALSE,0.59592957,0.637518003,0.54735745,0.186509947,0.911675818,0.729064192,0.146500776,0.224020189,0.900054207,0.919830897,0.686258448,0.765147555,0.049256498,0.069562547,0.022138381,0.081901714,0.022798028,0.021519935,0.098855886,0.067610091
42,42,RANDOM_MATCH_FCFS,1,TRUE,0.605200245,0.638668714,0.566111625,0.301384206,0.906302778,0.696619287,0.353646916,0.252385767,0.867421955,0.933586103,0.62834791,0.754169063,0.05040721,0.088316722,0.13701264,0.04945681,0.229944168,0.049885513,0.040945348,0.056631598
43,43,RANDOM_MATCH_FCFS,0,FALSE,0.61536495,0.65929963,0.564052592,0.289506792,0.925433157,0.714838621,0.241143395,0.334849464,0.916772859,0.931510233,0.669114688,0.753381889,0.071038126,0.086257688,0.125135226,0.067676143,0.117440647,0.13234921,0.081712126,0.055844425
44,44,RANDOM_MATCH_FCFS,1,TRUE,0.608407393,0.644806732,0.56589574,0.313408603,0.918212651,0.695247531,0.210496169,0.409893238,0.894368791,0.934944287,0.687475375,0.701799117,0.056545228,0.088100837,0.149037037,0.048085053,0.086793421,0.207392984,0.100072813,0.004261653
45,45,RANDOM_MATCH_FCFS,0,FALSE,0.612985409,0.656666376,0.56196937,0.30994966,0.945633733,0.700601148,0.264721337,0.352353071,0.942378901,0.947917703,0.653135816,0.74061234,0.068404872,0.084174466,0.145578094,0.05343867,0.141018589,0.149852817,0.065733254,0.043074875
46,46,RANDOM_MATCH_FCFS,0,TRUE,0.61958367,0.664212269,0.567460868,0.33571767,0.935828777,0.701144619,0.284096953,0.384114213,0.929925433,0.939971253,0.654386601,0.740559576,0.075950764,0.089665965,0.171346104,0.053982141,0.160394205,0.181613959,0.066984038,0.043022112
47,47,RANDOM_MATCH_FCFS,0,FALSE,0.599704989,0.645419927,0.546313425,0.281154651,0.896075987,0.697692408,0.229616223,0.329474045,0.888736654,0.90122612,0.649703932,0.738144587,0.057158423,0.068518522,0.116783085,0.05052993,0.105913475,0.126973791,0.062301369,0.040607123
48,48,RANDOM_MATCH_FCFS,1,TRUE,0.604711642,0.611274076,0.59704722,0.312637728,0.873612518,0.694868065,0.388355107,0.241649575,0.862446692,0.881447765,0.661220531,0.723231461,0.023012572,0.119252317,0.148266162,0.047705588,0.264652359,0.03914932,0.073817968,0.025693996
49,49,RANDOM_MATCH_FCFS,1,FALSE,0.633803579,0.673758475,0.587139306,0.442861509,0.89614552,0.683186637,0.3853873,0.496745943,0.888059259,0.901819784,0.644764127,0.715575127,0.085496971,0.109344402,0.278489943,0.036024159,0.261684552,0.294245688,0.057361564,0.018037662
50,50,RANDOM_MATCH_FCFS,0,TRUE,0.648331179,0.689152937,0.600654476,0.381665301,0.919071675,0.727858766,0.336378441,0.424123594,0.910439199,0.925129227,0.684538197,0.764376104,0.100891433,0.122859573,0.217293736,0.080696288,0.212675693,0.22162334,0.097135635,0.06683864
51,51,RANDOM_MATCH_FCFS,0,FALSE,0.644695085,0.682027597,0.601093557,0.354715733,0.916186951,0.73370596,0.325619399,0.38199474,0.907304679,0.92241979,0.690194048,0.770384593,0.093766093,0.123298654,0.190344167,0.086543482,0.201916651,0.179494486,0.102791485,0.072847129
52,52,RANDOM_MATCH_FCFS,0,TRUE,0.579573101,0.63145851,0.518974899,0.295268856,0.928366552,0.657720053,0.242857851,0.344406326,0.920928292,0.933586103,0.598823955,0.707366879,0.043197006,0.041179995,0.13089729,0.010557575,0.119155103,0.141906072,0.011421393,0.009829415
53,53,RANDOM_MATCH_FCFS,0,FALSE,0.626898596,0.668140761,0.578730892,0.337928793,0.933713508,0.71159503,0.296047578,0.377194154,0.927772199,0.937882624,0.666697376,0.749441782,0.079879256,0.100935989,0.173557227,0.064432552,0.17234483,0.1746939,0.079294813,0.051904318
54,54,RANDOM_MATCH_FCFS,0,TRUE,0.567330392,0.617518492,0.508714518,0.277355591,0.876366243,0.652193983,0.22857968,0.323085011,0.870016656,0.880821855,0.594354237,0.700950351,0.029256987,0.030919614,0.112984025,0.005031505,0.104876932,0.120584757,0.006951675,0.003412887
55,55,RANDOM_MATCH_FCFS,1,FALSE,0.60103531,0.642504229,0.552602773,0.313825162,0.888984429,0.687092767,0.280066957,0.345474866,0.887556993,0.889986084,0.637566562,0.728841184,0.054242724,0.07480787,0.149453596,0.039930289,0.156364209,0.142974612,0.050163999,0.03130372
56,56,RANDOM_MATCH_FCFS,0,TRUE,0.600036065,0.645618381,0.546799395,0.327830034,0.899805386,0.678631735,0.279117057,0.373500453,0.891869599,0.905374062,0.628649337,0.720764704,0.057356877,0.069004492,0.163458468,0.031469258,0.155414309,0.171000199,0.041246774,0.02322724
57,57,RANDOM_MATCH_FCFS,1,FALSE,0.650382063,0.697706563,0.595110654,0.387738747,0.925190987,0.727809851,0.285162022,0.483908641,0.904467595,0.939732937,0.698863174,0.75221063,0.109445059,0.117315751,0.223367181,0.080647373,0.161459274,0.281408387,0.111460612,0.054673165
58,58,RANDOM_MATCH_FCFS,0,TRUE,0.627088524,0.669389031,0.577684756,0.363475053,0.928366552,0.701991813,0.318763948,0.405393551,0.920928292,0.933586103,0.655913199,0.740834063,0.081127527,0.099889852,0.199103487,0.054829335,0.1950612,0.202893297,0.068510636,0.043296599
59,59,RANDOM_MATCH_FCFS,0,FALSE,0.618078549,0.660691068,0.568310374,0.341685875,0.885120617,0.702005707,0.301282867,0.379565355,0.874607181,0.892498072,0.653735692,0.742695211,0.072429564,0.090515471,0.177314309,0.054843229,0.177580119,0.177065101,0.06633313,0.045157747
60,60,RANDOM_MATCH_FCFS,0,TRUE,0.618625737,0.661003264,0.569132016,0.277670157,0.914318223,0.725881648,0.229448042,0.322880372,0.904467595,0.921230573,0.683206479,0.761854943,0.072741759,0.091337112,0.113298591,0.07871917,0.105745294,0.120380118,0.095803917,0.064317479
61,61,RANDOM_MATCH_FCFS,1,FALSE,0.612757215,0.671982405,0.543586706,0.341694772,0.909531958,0.691214281,0.276357069,0.402951553,0.919308088,0.902671884,0.622189011,0.749399554,0.083720901,0.065791803,0.177323206,0.044051803,0.152654321,0.200451299,0.034786448,0.05186209
62,62,RANDOM_MATCH_FCFS,1,TRUE,0.626920658,0.680539881,0.564297491,0.347791565,0.916232445,0.709511745,0.302025923,0.390698735,0.906162519,0.923298681,0.644117702,0.764636053,0.092278377,0.086502588,0.183419999,0.062349267,0.178323175,0.188198481,0.056715139,0.067098589
63,63,RANDOM_MATCH_FCFS,1,FALSE,0.619415944,0.644535456,0.590078269,0.401756061,0.911075877,0.676525015,0.412829968,0.391373819,0.942381193,0.889108413,0.631951334,0.714098672,0.056273952,0.112283365,0.237384495,0.029362537,0.28912722,0.188873564,0.044548771,0.016561208
64,64,RANDOM_MATCH_FCFS,1,TRUE,0.620340911,0.637404535,0.600411898,0.311005789,0.907301522,0.715586085,0.374977646,0.251029544,0.926651575,0.893723266,0.665796638,0.757556404,0.049143031,0.122616995,0.146634223,0.068423607,0.251274898,0.04852929,0.078394075,0.06001894
65,65,RANDOM_MATCH_FCFS,1,FALSE,0.6221298,0.661805273,0.575791872,0.366189354,0.920692385,0.694184431,0.299297781,0.428902953,0.920436611,0.920871866,0.661509298,0.721728135,0.073543768,0.097996968,0.201817788,0.047021953,0.175595033,0.226402699,0.074106735,0.024190671
66,66,RANDOM_MATCH_FCFS,0,TRUE,0.625696207,0.666589371,0.577936109,0.325064205,0.926815605,0.715806877,0.282788144,0.364699748,0.919422997,0.932003122,0.672065419,0.752679006,0.078327866,0.100141205,0.160692639,0.068644399,0.159085396,0.162199494,0.084662857,0.055141541
67,67,RANDOM_MATCH_FCFS,1,FALSE,0.625167244,0.665348403,0.578238713,0.343654216,0.924293671,0.707652853,0.298805215,0.385701997,0.919705484,0.927513278,0.665548465,0.743145004,0.077086899,0.10044381,0.17928265,0.060490375,0.175102467,0.183201743,0.078145903,0.04560754
68,68,RANDOM_MATCH_FCFS,1,TRUE,0.610800554,0.645316069,0.570489063,0.373958508,0.923817915,0.67342249,0.323104403,0.421636321,0.902630571,0.93868543,0.644814863,0.697537464,0.057054565,0.09269416,0.209586942,0.026260012,0.199401655,0.219136067,0.057412301,0
69,69,RANDOM_MATCH_FCFS,0,FALSE,0.654016553,0.695359239,0.605731448,0.422160382,0.937184649,0.717888433,0.382119316,0.459700526,0.932691505,0.940337564,0.670253506,0.758042586,0.107097735,0.127936544,0.257788816,0.070725955,0.258416568,0.257200272,0.082850943,0.060505122
70,70,RANDOM_MATCH_FCFS,1,TRUE,0.604790537,0.625143854,0.581019415,0.36107401,0.921565574,0.669818385,0.371828449,0.350991282,0.931548328,0.914560509,0.636935203,0.697537464,0.036882349,0.103224512,0.196702444,0.022655907,0.248125701,0.148491028,0.049532641,0
71,71,RANDOM_MATCH_FCFS,1,FALSE,0.62393575,0.687815188,0.549329436,0.387765861,0.925549878,0.687540966,0.315589777,0.455433906,0.887342869,0.952360375,0.617147507,0.746879563,0.099553683,0.071534533,0.223394295,0.040378488,0.191887029,0.252933652,0.029744945,0.049342099
72,72,RANDOM_MATCH_FCFS,0,TRUE,0.600838939,0.64714754,0.546754023,0.415950649,0.892295343,0.644523269,0.379362722,0.450253335,0.884884929,0.897495355,0.585758951,0.694059011,0.058886035,0.068959119,0.251579083,-0.002639209,0.255659974,0.247753081,-0.001643612,-0.003478453
73,73,RANDOM_MATCH_FCFS,0,FALSE,0.593320451,0.63486322,0.544801662,0.197246817,0.92978934,0.718690706,0.155846109,0.236061682,0.922764435,0.934718833,0.676021386,0.75465907,0.046601716,0.067006759,0.032875251,0.071528228,0.032143361,0.033561427,0.088618824,0.057121606
74,74,RANDOM_MATCH_FCFS,0,TRUE,0.654452048,0.698596558,0.602894625,0.509476988,0.928455568,0.683685786,0.4576476,0.558069169,0.92102115,0.933672423,0.634278151,0.725334256,0.110335054,0.125099721,0.345105422,0.036523309,0.333944852,0.355568915,0.046875588,0.027796791
75,75,RANDOM_MATCH_FCFS,0,FALSE,0.613071917,0.656978496,0.56179238,0.334500233,0.919563145,0.693537416,0.292766444,0.373627374,0.914160365,0.923354366,0.643499124,0.735717501,0.068716992,0.083997477,0.170128667,0.046374938,0.169063696,0.17112712,0.056096561,0.038180036
76,76,RANDOM_MATCH_FCFS,0,TRUE,0.618996998,0.663549417,0.566963168,0.380387307,0.931539561,0.682396679,0.335425422,0.422540921,0.925371788,0.93586759,0.631795195,0.725051509,0.075287913,0.089168265,0.216015741,0.035234201,0.211722675,0.220040666,0.044392632,0.027514045
77,77,RANDOM_MATCH_FCFS,0,FALSE,0.62682159,0.669635142,0.576818625,0.355135008,0.921193123,0.70580011,0.310971995,0.396539649,0.912444814,0.927331957,0.658811785,0.745409207,0.081373638,0.099023721,0.190763442,0.058637632,0.187269247,0.194039394,0.071409222,0.047871742
78,78,RANDOM_MATCH_FCFS,1,TRUE,0.590616128,0.606370041,0.572216759,0.237475933,0.914349189,0.699775671,0.217707654,0.256009508,0.903089926,0.922250002,0.693170932,0.705343176,0.018108536,0.094421855,0.073104367,0.052613193,0.094004906,0.053509254,0.105768369,0.007805712
79,79,RANDOM_MATCH_FCFS,0,FALSE,0.610668119,0.65519312,0.558666313,0.273960036,0.956719083,0.710620821,0.224573046,0.320262369,0.955437048,0.957618709,0.664198419,0.74975287,0.066931615,0.080871409,0.10958847,0.063458343,0.100870298,0.117762115,0.076795856,0.052215406
80,80,RANDOM_MATCH_FCFS,1,TRUE,0.604536602,0.633688035,0.570489951,0.340343067,0.925496978,0.677504685,0.376006833,0.306906821,0.921915518,0.928010148,0.619931889,0.726036026,0.04542653,0.092695048,0.175971501,0.030342207,0.252304085,0.104406567,0.032529326,0.028498561
81,81,RANDOM_MATCH_FCFS,0,FALSE,0.586699082,0.629295559,0.536949643,0.201607425,0.913271767,0.708655775,0.160512239,0.240135851,0.903491742,0.920134574,0.663872161,0.746406397,0.041034054,0.05915474,0.037235859,0.061493297,0.036809491,0.037635597,0.076469599,0.048868932
82,82,RANDOM_MATCH_FCFS,0,TRUE,0.616489031,0.663556433,0.561517894,0.440473272,0.906799815,0.656659177,0.40140004,0.477106033,0.895740234,0.914560509,0.597754531,0.706313209,0.075294928,0.08372299,0.276101706,0.009496699,0.277697292,0.274605779,0.010351968,0.008775745
83,83,RANDOM_MATCH_FCFS,0,FALSE,0.578935387,0.624890018,0.52526388,0.257925455,0.913442897,0.673721215,0.213469596,0.299604649,0.903988754,0.920077028,0.62291247,0.716550757,0.036628514,0.047468977,0.093553889,0.026558737,0.089766848,0.097104395,0.035509907,0.019013293
84,84,RANDOM_MATCH_FCFS,1,TRUE,0.625561703,0.658542283,0.5870429,0.283162167,0.918004467,0.733768933,0.270405869,0.295121721,0.887914928,0.939118799,0.694543434,0.766834307,0.070280778,0.109247997,0.118790601,0.086606455,0.146703121,0.092621467,0.107140871,0.069296843
85,85,RANDOM_MATCH_FCFS,0,FALSE,0.616386857,0.661776711,0.563374968,0.366840003,0.931755495,0.683962358,0.321512528,0.409336373,0.92556524,0.936099301,0.632312447,0.727500967,0.073515206,0.085580064,0.202468437,0.03679988,0.19780978,0.206836119,0.044909884,0.029963503
86,86,RANDOM_MATCH_FCFS,0,TRUE,0.614651753,0.657474022,0.564638607,0.272560019,0.929045988,0.720308911,0.228084932,0.31425724,0.921961947,0.934016978,0.675165489,0.758362835,0.069212517,0.086843703,0.108188453,0.073146433,0.104382184,0.111756986,0.087762926,0.060825371
87,87,RANDOM_MATCH_FCFS,0,FALSE,0.580153194,0.629135765,0.522945285,0.276597122,0.930194338,0.666062011,0.223494091,0.326383396,0.923805317,0.934677621,0.6130324,0.710763645,0.040874261,0.045150382,0.112225556,0.018899533,0.099791343,0.123883142,0.025629837,0.013226181
88,88,RANDOM_MATCH_FCFS,1,TRUE,0.610296821,0.668099928,0.542787199,0.282906083,0.903174098,0.712297493,0.257915881,0.306335424,0.881803457,0.918170234,0.63270141,0.779393499,0.079838423,0.064992296,0.118534517,0.065135015,0.134213133,0.10383517,0.045298848,0.081856034
